x,y,z,value
-27.2412,-30.1086,-27.2412,0
-24.3737,-30.1086,-27.2412,0
-27.2412,-32.9761,-24.3737,0
-24.3737,-32.9761,-24.3737,0
-27.2412,-30.1086,-24.3737,0
-24.3737,-30.1086,-24.3737,0
-32.9761,-27.2412,-27.2412,0
-30.1086,-27.2412,-27.2412,0
-32.9761,-24.3737,-27.2412,0
-30.1086,-24.3737,-27.2412,0
-32.9761,-27.2412,-24.3737,0
-30.1086,-27.2412,-24.3737,0
-32.9761,-24.3737,-24.3737,0
-30.1086,-24.3737,-24.3737,0
-27.2412,-27.2412,-27.2412,0
-24.3737,-27.2412,-27.2412,1
-27.2412,-24.3737,-27.2412,1
-24.3737,-24.3737,-27.2412,0.5
-27.2412,-27.2412,-24.3737,0
-24.3737,-27.2412,-24.3737,1
-27.2412,-24.3737,-24.3737,1
-24.3737,-24.3737,-24.3737,0.5
-21.5062,-44.4461,-44.4461,0
-18.6387,-44.4461,-44.4461,0
-21.5062,-41.5786,-44.4461,0
-18.6387,-41.5786,-44.4461,0
-21.5062,-44.4461,-41.5786,0
-18.6387,-44.4461,-41.5786,0
-21.5062,-41.5786,-41.5786,0
-18.6387,-41.5786,-41.5786,0
-15.7712,-44.4461,-44.4461,0
-12.9037,-44.4461,-44.4461,0
-15.7712,-41.5786,-44.4461,0
-12.9037,-41.5786,-44.4461,0
-15.7712,-44.4461,-41.5786,0
-12.9037,-44.4461,-41.5786,0
-15.7712,-41.5786,-41.5786,0
-12.9037,-41.5786,-41.5786,0
-21.5062,-38.7111,-44.4461,0
-18.6387,-38.7111,-44.4461,0
-21.5062,-35.8436,-44.4461,0
-18.6387,-35.8436,-44.4461,0
-21.5062,-38.7111,-41.5786,0
-18.6387,-38.7111,-41.5786,0
-21.5062,-35.8436,-41.5786,0
-18.6387,-35.8436,-41.5786,0
-15.7712,-38.7111,-44.4461,0
-12.9037,-38.7111,-44.4461,0
-15.7712,-35.8436,-44.4461,0
-12.9037,-35.8436,-44.4461,0
-15.7712,-38.7111,-41.5786,0
-12.9037,-38.7111,-41.5786,0
-15.7712,-35.8436,-41.5786,0
-12.9037,-35.8436,-41.5786,0
-21.5062,-44.4461,-38.7111,0
-18.6387,-44.4461,-38.7111,0
-21.5062,-41.5786,-38.7111,0
-18.6387,-41.5786,-38.7111,0
-21.5062,-44.4461,-35.8436,0
-18.6387,-44.4461,-35.8436,0
-21.5062,-41.5786,-35.8436,0
-18.6387,-41.5786,-35.8436,0
-15.7712,-44.4461,-38.7111,0
-12.9037,-44.4461,-38.7111,0
-15.7712,-41.5786,-38.7111,0
-12.9037,-41.5786,-38.7111,0
-15.7712,-44.4461,-35.8436,0
-12.9037,-44.4461,-35.8436,0
-15.7712,-41.5786,-35.8436,0
-12.9037,-41.5786,-35.8436,0
-21.5062,-38.7111,-38.7111,0
-18.6387,-38.7111,-38.7111,0
-21.5062,-35.8436,-38.7111,0
-18.6387,-35.8436,-38.7111,0
-21.5062,-38.7111,-35.8436,0
-18.6387,-38.7111,-35.8436,0
-21.5062,-35.8436,-35.8436,0
-18.6387,-35.8436,-35.8436,0
-15.7712,-38.7111,-38.7111,0
