model,method,n_seeds,samples_points,samples_viewpoints,samples_pairs,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_mean,overlap_std,cv_overlap_mean,cv_overlap_std,overlap_entropy_mean,overlap_entropy_std,gini_overlap_mean,gini_overlap_std
0046,Greedy,1,12879,14,182,14.000000,0.000000,6.661279,0.000000,7.705218,0.000000,0.127561,0.000000,0.249249,0.000000,0.782734,0.000000,0.881311,0.000000,0.411593,0.000000
0050,Greedy,1,13629,9,72,9.000000,0.000000,17.796209,0.000000,20.318088,0.000000,0.450836,0.000000,0.289435,0.000000,0.817512,0.000000,0.823823,0.000000,0.432486,0.000000
0051,Greedy,1,12600,6,30,6.000000,0.000000,7.172794,0.000000,10.196134,0.000000,2.232804,0.000000,0.169138,0.000000,0.873163,0.000000,0.759995,0.000000,0.447564,0.000000
0052,Greedy,1,12738,5,20,5.000000,0.000000,10.799670,0.000000,15.813884,0.000000,7.530225,0.000000,0.203941,0.000000,0.705322,0.000000,0.788291,0.000000,0.374586,0.000000
0062,Greedy,1,13456,5,20,5.000000,0.000000,7.323747,0.000000,10.403010,0.000000,1.657253,0.000000,0.314099,0.000000,1.015043,0.000000,0.620263,0.000000,0.492431,0.000000
0066,Greedy,1,13896,6,30,6.000000,0.000000,4.432420,0.000000,5.921956,0.000000,0.267463,0.000000,0.323628,0.000000,0.944564,0.000000,0.710662,0.000000,0.486982,0.000000
0067,Greedy,1,13233,7,42,7.000000,0.000000,8.549548,0.000000,10.682162,0.000000,0.140342,0.000000,0.394441,0.000000,0.764970,0.000000,0.818801,0.000000,0.386197,0.000000
0071,Greedy,1,13663,11,110,11.000000,0.000000,12.317140,0.000000,14.280296,0.000000,0.077848,0.000000,0.360625,0.000000,0.797991,0.000000,0.849247,0.000000,0.428425,0.000000
0073,Greedy,1,13623,3,6,3.000000,0.000000,6.203385,0.000000,11.714901,0.000000,19.016859,0.000000,0.193044,0.000000,0.639946,0.000000,0.533582,0.000000,0.319973,0.000000
0077,Greedy,1,13447,7,42,7.000000,0.000000,9.223929,0.000000,11.222212,0.000000,0.182728,0.000000,0.354473,0.000000,1.002533,0.000000,0.696818,0.000000,0.506640,0.000000
0081,Greedy,1,9440,9,72,9.000000,0.000000,12.135711,0.000000,14.449389,0.000000,0.103578,0.000000,0.400227,0.000000,0.435420,0.000000,0.955760,0.000000,0.230882,0.000000
0082,Greedy,1,12727,7,42,7.000000,0.000000,4.908822,0.000000,6.326466,0.000000,0.471439,0.000000,0.276590,0.000000,0.725757,0.000000,0.842707,0.000000,0.398993,0.000000
0083,Greedy,1,13060,6,30,6.000000,0.000000,8.609334,0.000000,11.505292,0.000000,1.886166,0.000000,0.250671,0.000000,0.637910,0.000000,0.856342,0.000000,0.345160,0.000000
0084,Greedy,1,13516,7,42,7.000000,0.000000,10.459987,0.000000,12.725694,0.000000,1.459646,0.000000,0.338292,0.000000,0.973425,0.000000,0.699894,0.000000,0.484794,0.000000
0088,Greedy,1,12893,9,72,9.000000,0.000000,10.787014,0.000000,13.131119,0.000000,0.187009,0.000000,0.319795,0.000000,0.730157,0.000000,0.858989,0.000000,0.371146,0.000000
0089,Greedy,1,12123,13,156,13.000000,0.000000,27.239575,0.000000,32.996130,0.000000,0.102793,0.000000,0.256625,0.000000,0.677345,0.000000,0.898804,0.000000,0.373969,0.000000
0093,Greedy,1,12900,26,650,26.000000,0.000000,46.605913,0.000000,49.152498,0.000000,0.014908,0.000000,0.351128,0.000000,0.902808,0.000000,0.853953,0.000000,0.491450,0.000000
0095,Greedy,1,13030,7,42,7.000000,0.000000,12.556370,0.000000,16.398772,0.000000,0.839820,0.000000,0.233810,0.000000,0.615139,0.000000,0.875789,0.000000,0.338338,0.000000
0099,Greedy,1,13378,7,42,7.000000,0.000000,8.175958,0.000000,10.865483,0.000000,1.004848,0.000000,0.209502,0.000000,0.928214,0.000000,0.745108,0.000000,0.485072,0.000000
0106,Greedy,1,13297,11,110,11.000000,0.000000,13.389817,0.000000,15.874665,0.000000,0.234503,0.000000,0.305549,0.000000,1.009787,0.000000,0.765483,0.000000,0.526675,0.000000
0107,Greedy,1,12694,6,30,6.000000,0.000000,8.875091,0.000000,11.917859,0.000000,2.562891,0.000000,0.218513,0.000000,0.605717,0.000000,0.862273,0.000000,0.329607,0.000000
0108,Greedy,1,13966,4,12,4.000000,0.000000,5.451070,0.000000,8.377899,0.000000,10.810182,0.000000,0.334063,0.000000,0.688704,0.000000,0.731744,0.000000,0.350808,0.000000
0109,Greedy,1,13160,9,72,9.000000,0.000000,14.193041,0.000000,17.218775,0.000000,0.097096,0.000000,0.378741,0.000000,0.760908,0.000000,0.847841,0.000000,0.390692,0.000000
bell,Greedy,10,109812,176,2952,17.600000,1.743560,67.351413,10.762739,74.824347,10.855980,0.070946,0.046803,0.282128,0.021610,0.763824,0.045550,0.896003,0.014130,0.403451,0.021071
bracket,Greedy,10,129665,58,284,5.800000,0.748331,6.273268,1.086534,8.424587,1.065153,3.627184,2.821924,0.290632,0.043608,0.721798,0.178179,0.804551,0.099018,0.371941,0.080907
cat,Greedy,10,121967,94,804,9.400000,1.200000,16.213400,2.490915,19.736949,2.559791,0.383929,0.209632,0.231199,0.009395,0.671706,0.047272,0.886715,0.014480,0.365849,0.024073
goku,Greedy,10,120471,128,1538,12.800000,1.661325,15.330645,2.341541,17.734161,2.337599,0.103305,0.051022,0.265314,0.019431,0.672221,0.047013,0.907699,0.010948,0.361143,0.020117
gorilla,Greedy,10,120382,67,384,6.700000,0.458258,12.008102,1.042928,15.989347,1.035867,1.424499,0.586747,0.220730,0.015022,0.710712,0.077781,0.841908,0.033403,0.379641,0.036823
mug,Greedy,10,127053,88,696,8.800000,0.979796,20.325892,2.740090,25.604370,3.005710,1.000372,0.604807,0.203943,0.010688,0.811291,0.075253,0.832615,0.024223,0.429235,0.034194
0003,Potential Field,3,16197,15,60,5.000000,0.000000,15.459629,3.418586,16.650217,3.333386,8.753951,2.108942,0.155395,0.018680,0.615690,0.078293,0.846699,0.029829,0.325357,0.042580
0005,Potential Field,1,5766,3,6,3.000000,0.000000,1.908630,0.000000,2.491493,0.000000,23.875593,0.000000,0.122509,0.000000,0.628426,0.000000,0.620930,0.000000,0.314213,0.000000
0006,Potential Field,1,5094,6,30,6.000000,0.000000,22.342641,0.000000,23.373713,0.000000,3.520482,0.000000,0.302587,0.000000,0.670960,0.000000,0.854453,0.000000,0.350491,0.000000
0007,Potential Field,1,5465,3,6,3.000000,0.000000,0.000000,0.000000,0.150224,0.000000,20.616041,0.000000,0.219536,0.000000,0.650938,0.000000,0.589929,0.000000,0.325469,0.000000
0009,Potential Field,1,5330,4,12,4.000000,0.000000,3.124203,0.000000,3.313812,0.000000,11.819887,0.000000,0.217579,0.000000,0.640794,0.000000,0.766533,0.000000,0.321374,0.000000
0010,Potential Field,1,5295,3,6,3.000000,0.000000,0.000000,0.000000,0.158028,0.000000,24.337425,0.000000,0.137108,0.000000,0.468343,0.000000,0.765262,0.000000,0.234171,0.000000
0012,Potential Field,1,5541,4,12,4.000000,0.000000,5.033513,0.000000,5.385921,0.000000,15.200325,0.000000,0.146255,0.000000,0.464855,0.000000,0.892765,0.000000,0.235387,0.000000
0013,Potential Field,1,5083,4,12,4.000000,0.000000,6.536364,0.000000,7.096236,0.000000,16.107614,0.000000,0.109752,0.000000,0.091806,0.000000,0.994886,0.000000,0.048506,0.000000
0015,Potential Field,1,5250,4,12,4.000000,0.000000,8.225058,0.000000,8.871899,0.000000,14.628571,0.000000,0.149030,0.000000,0.660457,0.000000,0.792811,0.000000,0.347945,0.000000
0016,Potential Field,1,5218,6,30,6.000000,0.000000,23.641266,0.000000,24.940674,0.000000,7.116392,0.000000,0.388345,0.000000,0.464457,0.000000,0.908358,0.000000,0.235517,0.000000
0017,Potential Field,1,4759,8,56,8.000000,0.000000,37.923313,0.000000,39.746767,0.000000,3.438222,0.000000,0.222741,0.000000,0.629030,0.000000,0.891434,0.000000,0.336475,0.000000
0021,Potential Field,1,4091,5,20,5.000000,0.000000,10.717211,0.000000,11.254477,0.000000,8.335370,0.000000,0.161524,0.000000,0.581670,0.000000,0.861644,0.000000,0.303562,0.000000
0026,Potential Field,1,5000,4,12,4.000000,0.000000,7.691986,0.000000,8.034194,0.000000,15.790000,0.000000,0.142387,0.000000,0.672553,0.000000,0.787758,0.000000,0.346905,0.000000
0029,Potential Field,1,5193,3,6,3.000000,0.000000,0.619280,0.000000,0.760986,0.000000,25.264780,0.000000,0.134047,0.000000,0.475705,0.000000,0.760070,0.000000,0.237853,0.000000
0030,Potential Field,1,5154,6,30,6.000000,0.000000,18.183065,0.000000,19.294018,0.000000,4.071272,0.000000,0.148827,0.000000,0.930929,0.000000,0.748775,0.000000,0.455246,0.000000
0031,Potential Field,1,4784,3,6,3.000000,0.000000,0.000000,0.000000,0.150650,0.000000,26.672241,0.000000,0.100481,0.000000,0.231443,0.000000,0.952008,0.000000,0.115721,0.000000
0034,Potential Field,1,5059,5,20,5.000000,0.000000,7.098596,0.000000,8.313234,0.000000,11.947025,0.000000,0.100381,0.000000,0.767222,0.000000,0.773118,0.000000,0.409386,0.000000
0036,Potential Field,1,5294,4,12,4.000000,0.000000,2.643007,0.000000,2.901187,0.000000,12.925009,0.000000,0.327827,0.000000,0.594765,0.000000,0.801544,0.000000,0.312830,0.000000
0038,Potential Field,1,5604,4,12,4.000000,0.000000,5.466338,0.000000,5.764799,0.000000,13.227159,0.000000,0.233122,0.000000,0.568699,0.000000,0.818038,0.000000,0.293208,0.000000
0041,Potential Field,1,5228,4,12,4.000000,0.000000,3.393363,0.000000,3.861020,0.000000,12.734315,0.000000,0.163783,0.000000,0.488627,0.000000,0.856012,0.000000,0.246913,0.000000
