model,is_named,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s
0066,False,Potential Field,6.000000,0.000000,29.850668,0.000000,1.729213,0.000000,0.913369,0.000000
0021,False,Greedy,4.000000,0.000000,6.837792,0.000000,3.703704,0.000000,0.704715,0.000000
0021,False,Genetic (RKGA),5.000000,0.000000,13.355558,0.000000,3.178840,0.000000,0.630324,0.000000
0021,False,SA,6.000000,0.000000,6.963046,0.000000,1.737892,0.000000,0.681139,0.000000
0021,False,Potential Field,5.000000,0.000000,11.254477,0.000000,8.335370,0.000000,0.581670,0.000000
0030,False,Greedy,5.000000,0.000000,5.340435,0.000000,0.152020,0.000000,0.880674,0.000000
0030,False,Genetic (RKGA),6.000000,0.000000,19.722546,0.000000,1.036236,0.000000,0.702668,0.000000
0030,False,SA,9.000000,0.000000,22.017164,0.000000,0.353431,0.000000,0.817427,0.000000
0030,False,Potential Field,6.000000,0.000000,19.294018,0.000000,4.071272,0.000000,0.930929,0.000000
0036,False,Greedy,8.000000,0.000000,8.769076,0.000000,0.520910,0.000000,0.725573,0.000000
0036,False,Genetic (RKGA),4.000000,0.000000,13.576689,0.000000,9.983016,0.000000,0.808464,0.000000
0036,False,SA,10.000000,0.000000,41.839888,0.000000,0.251180,0.000000,0.834692,0.000000
0036,False,Potential Field,4.000000,0.000000,2.901187,0.000000,12.925009,0.000000,0.594765,0.000000
0006,False,Greedy,6.000000,0.000000,9.515222,0.000000,2.061625,0.000000,0.897673,0.000000
0006,False,Genetic (RKGA),6.000000,0.000000,23.735338,0.000000,0.381605,0.000000,0.734886,0.000000
0006,False,SA,13.000000,0.000000,34.264490,0.000000,0.146606,0.000000,0.850878,0.000000
0006,False,Potential Field,6.000000,0.000000,23.373713,0.000000,3.520482,0.000000,0.670960,0.000000
0082,False,Greedy,7.000000,0.000000,6.326466,0.000000,0.471439,0.000000,0.725757,0.000000
0082,False,Genetic (RKGA),6.000000,0.000000,21.879351,0.000000,1.548587,0.000000,0.671753,0.000000
0082,False,SA,9.000000,0.000000,16.715240,0.000000,0.691767,0.000000,0.755649,0.000000
0082,False,Potential Field,8.000000,0.000000,41.276938,0.000000,1.280004,0.000000,0.627306,0.000000
0015,False,Greedy,4.000000,0.000000,7.261626,0.000000,13.179116,0.000000,0.717825,0.000000
0015,False,Genetic (RKGA),4.000000,0.000000,13.352638,0.000000,5.795000,0.000000,1.044651,0.000000
0015,False,SA,12.000000,0.000000,47.192197,0.000000,0.628841,0.000000,0.813548,0.000000
0015,False,Potential Field,4.000000,0.000000,8.871899,0.000000,14.628571,0.000000,0.660457,0.000000
