model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0088,Genetic (RKGA),3.0000,0.0000,11.2380,0.0000,20.8390,0.0000,0.4029,0.0000,,0.0000,False,1,1
0089,Genetic (RKGA),8.0000,0.0000,22.6985,0.0000,1.1622,0.0000,0.7370,0.0000,,0.0000,False,1,1
0090,Genetic (RKGA),11.0000,0.0000,40.1521,0.0000,0.3634,0.0000,0.7599,0.0000,,0.0000,False,1,1
0093,Genetic (RKGA),9.0000,0.0000,52.8565,0.0000,0.1467,0.0000,0.8224,0.0000,,0.0000,False,1,1
0094,Genetic (RKGA),4.0000,0.0000,15.3709,0.0000,6.4625,0.0000,0.6857,0.0000,,0.0000,False,1,1
0095,Genetic (RKGA),5.0000,0.0000,15.6308,0.0000,3.1250,0.0000,0.6167,0.0000,,0.0000,False,1,1
0099,Genetic (RKGA),4.0000,0.0000,13.2650,0.0000,4.5263,0.0000,0.9524,0.0000,,0.0000,False,1,1
0102,Genetic (RKGA),3.0000,0.0000,11.9901,0.0000,20.7929,0.0000,0.6002,0.0000,,0.0000,False,1,1
0106,Genetic (RKGA),5.0000,0.0000,16.4268,0.0000,4.2060,0.0000,1.1373,0.0000,,0.0000,False,1,1
0107,Genetic (RKGA),3.0000,0.0000,10.3096,0.0000,25.3947,0.0000,0.4999,0.0000,,0.0000,False,1,1
0108,Genetic (RKGA),3.0000,0.0000,12.3782,0.0000,16.8747,0.0000,0.5866,0.0000,,0.0000,False,1,1
0109,Genetic (RKGA),5.0000,0.0000,19.2094,0.0000,1.3223,0.0000,0.7027,0.0000,,0.0000,False,1,1
0110,Genetic (RKGA),4.0000,0.0000,13.6698,0.0000,9.3306,0.0000,0.4579,0.0000,,0.0000,False,1,1
bell,SA,8.2000,2.1354,54.0284,42.6560,1.1674,0.6189,0.5366,0.0788,,0.0000,True,2,0
bracket,SA,10.1000,4.5924,30.7400,33.3612,1.5735,1.5775,0.9184,0.1531,,0.0000,True,2,0
cat,SA,8.1000,0.9434,31.4208,10.2859,0.8387,0.5804,0.6958,0.0822,,0.0000,True,2,0
goku,SA,8.3000,1.2689,27.9467,13.3244,0.6892,0.6767,0.7261,0.1336,,0.0000,True,2,0
gorilla,SA,6.9000,0.8307,23.5693,19.1682,1.6541,1.2003,0.7264,0.0848,,0.0000,True,2,0
mug,SA,8.2000,1.6613,46.7353,25.3200,2.0250,1.5399,0.7856,0.1974,,0.0000,True,2,0
0003,SA,7.0000,0.0000,11.6252,0.0000,2.0412,0.0000,0.9283,0.0000,,0.0000,False,2,1
0005,SA,13.0000,0.0000,166.5707,0.0000,1.2003,0.0000,0.8978,0.0000,,0.0000,False,2,1
0006,SA,13.0000,0.0000,34.2645,0.0000,0.1466,0.0000,0.8509,0.0000,,0.0000,False,2,1
0007,SA,8.0000,0.0000,18.9771,0.0000,0.2083,0.0000,1.0587,0.0000,,0.0000,False,2,1
0008,SA,11.0000,0.0000,38.5684,0.0000,0.6020,0.0000,0.9595,0.0000,,0.0000,False,2,1
0009,SA,7.0000,0.0000,5.1076,0.0000,0.3728,0.0000,0.9428,0.0000,,0.0000,False,2,1
0010,SA,7.0000,0.0000,13.8143,0.0000,0.8165,0.0000,0.9081,0.0000,,0.0000,False,2,1
0012,SA,8.0000,0.0000,13.5894,0.0000,0.8164,0.0000,0.8606,0.0000,,0.0000,False,2,1
0013,SA,7.0000,0.0000,39.7911,0.0000,0.7390,0.0000,0.9119,0.0000,,0.0000,False,2,1
0015,SA,12.0000,0.0000,47.1922,0.0000,0.6288,0.0000,0.8135,0.0000,,0.0000,False,2,1
0016,SA,14.0000,0.0000,113.8125,0.0000,0.1186,0.0000,1.0211,0.0000,,0.0000,False,2,1
0017,SA,7.0000,0.0000,4.6955,0.0000,0.7394,0.0000,0.8127,0.0000,,0.0000,False,2,1
0021,SA,6.0000,0.0000,6.9630,0.0000,1.7379,0.0000,0.6811,0.0000,,0.0000,False,2,1
0022,SA,14.0000,0.0000,126.2497,0.0000,0.0493,0.0000,0.9341,0.0000,,0.0000,False,2,1
0026,SA,14.0000,0.0000,60.0755,0.0000,0.1596,0.0000,0.9118,0.0000,,0.0000,False,2,1
0029,SA,10.0000,0.0000,21.3471,0.0000,0.1371,0.0000,0.8749,0.0000,,0.0000,False,2,1
0030,SA,9.0000,0.0000,22.0172,0.0000,0.3534,0.0000,0.8174,0.0000,,0.0000,False,2,1
