seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
223,0.9981,0.9875,12,0.5664887428283691,14,7.95855,0.083175,1.7619061501852251
224,0.9974,0.9834,12,0.5771274566650391,14,8.0313,0.08311666666666666,1.7282144324990663
225,0.9965,0.9854,11,0.5274028778076172,13,7.07325,0.0905909090909091,1.8894474071555925
226,0.9953,0.9797,10,0.4879179000854492,13,6.086850000000001,0.09953,2.039892366780749
227,0.9926,0.9664,12,0.5877163410186768,14,8.0501,0.08271666666666667,1.6889099906249785
228,0.9904,0.9711,11,0.5230822563171387,13,7.0804,0.09003636363636364,1.8933924598649203
229,0.9937,0.9702,10,0.47107553482055664,13,6.0577499999999995,0.09937,2.1094281628922267
23,0.9929,0.9744,11,0.51377272605896,14,7.045749999999999,0.09026363636363637,1.9325665798111205
230,0.994,0.9711,12,0.5998432636260986,14,7.9769000000000005,0.08283333333333333,1.657099546290132
231,0.9961,0.9839,12,0.5673356056213379,14,7.995550000000001,0.08300833333333334,1.7557508996973412
232,0.9924,0.9763,11,0.5289661884307861,13,7.1236,0.09021818181818181,1.87611235217892
233,0.9936,0.971,10,0.47482872009277344,13,6.1267,0.09936,2.092544022623289
234,0.9921,0.9695,12,0.5731747150421143,14,8.02025,0.082675,1.7308858432931833
235,0.9945,0.9776,11,0.5163087844848633,14,7.08165,0.09040909090909091,1.9261729218731818
236,0.9922,0.9709,11,0.5183975696563721,14,7.0566,0.0902,1.913975022409336
237,0.9958,0.9766,10,0.47216343879699707,13,6.0915,0.09958,2.1090154767958142
238,0.9953,0.9805,11,0.5208401679992676,14,7.0421499999999995,0.09048181818181818,1.9109509234345374
239,0.9926,0.9693,11,0.5181608200073242,13,7.1082,0.09023636363636364,1.9156214859818417
24,0.9945,0.9805,11,0.5177943706512451,14,7.041849999999999,0.09040909090909091,1.920646604846608
240,0.9961,0.9837,11,0.5319850444793701,13,7.05105,0.09055454545454546,1.8724210583303866
241,0.9951,0.9757,11,0.5200164318084717,13,7.077450000000001,0.09046363636363636,1.913593377307945
242,0.9912,0.9613,10,0.4766256809234619,13,6.0885,0.09912,2.079619373592188
243,0.99,0.968,10,0.4671664237976074,13,6.035200000000001,0.099,2.119159146653275
244,0.9986,0.986,11,0.5218627452850342,14,7.0052,0.09078181818181819,1.9135299636201826
245,0.9904,0.971,10,0.47052693367004395,13,6.088699999999999,0.09903999999999999,2.104874193438873
246,0.9936,0.979,12,0.5731372833251953,14,8.0691,0.0828,1.7336160618192347
247,0.9921,0.9782,12,0.5730245113372803,14,8.00865,0.082675,1.7313395507021396
248,0.9925,0.9758,11,0.5249755382537842,14,7.0142500000000005,0.09022727272727273,1.8905642790544743
249,0.9906,0.9654,11,0.521373987197876,13,7.0982,0.09005454545454546,1.8999797157583156
25,0.9945,0.9741,11,0.5267701148986816,13,7.091049999999999,0.09040909090909091,1.887920312623052
250,0.9929,0.9742,11,0.5244631767272949,13,7.09115,0.09026363636363637,1.8931739044022116
251,0.9947,0.9774,11,0.5218071937561035,14,7.13885,0.09042727272727273,1.9062596528037328
252,0.9958,0.9789,11,0.5241832733154297,13,7.0703,0.09052727272727273,1.8997172376402267
253,0.9929,0.972,12,0.5679302215576172,14,8.039050000000001,0.08274166666666667,1.7482781551523212
254,0.9916,0.9738,11,0.5159988403320312,13,7.049799999999999,0.09014545454545454,1.921709745242707
255,0.996,0.9774,12,0.5708522796630859,14,8.019300000000001,0.083,1.7447596085415198
256,0.9945,0.973,11,0.5156896114349365,13,7.12725,0.09040909090909091,1.9284856199308449
257,0.9931,0.9674,11,0.5136313438415527,13,7.05105,0.09028181818181819,1.9334879226263806
258,0.9952,0.9759,11,0.5193459987640381,14,7.0778,0.09047272727272727,1.9162562191071457
259,0.9943,0.9773,11,0.5505015850067139,13,7.046749999999999,0.09039090909090909,1.8061710031005154
26,0.9918,0.9742,11,0.5397303104400635,14,7.1208,0.09016363636363636,1.8375844024608257
260,0.993,0.9784,12,0.5649101734161377,14,7.994900000000001,0.08275,1.757801588162429
261,0.9972,0.9855,12,0.5907788276672363,14,8.077399999999999,0.0831,1.6879413298163852
262,0.9972,0.9806,12,0.5747027397155762,14,7.9177,0.0831,1.7351579017937522
263,0.9919,0.9768,10,0.48822569847106934,13,6.06715,0.09919,2.0316423389965754
264,0.9949,0.9805,11,0.5562825202941895,14,6.99675,0.09044545454545455,1.7884797089684719
265,0.995,0.9749,11,0.5345783233642578,13,7.0575,0.09045454545454545,1.8612801090365465
266,0.9919,0.9809,12,0.5690553188323975,14,7.91395,0.08265833333333333,1.743064280701578
